,SN,Outlier,Epoch,PC-1,PC-2,PC-3,PC-4,PC-5,PC-6,PC-7,PC-8,PC-9,PC-10,PC-11,PC-12,PC-13,PC-14,PC-15,PC-16,PC-17,PC-18,PC-19,PC-20,PC-21,PC-22,PC-23,PC-24,PC-25,PC-26,PC-27,PC-28,PC-29,PC-30,PC-31,PC-32,PC-33,PC-34,PC-35,PC-36,PC-37,PC-38,PC-39,PC-40,PC-41,PC-42,PC-43,PC-44,PC-45,PC-46,PC-47,PC-48,PC-49,PC-50,PC-51,PC-52,PC-53,PC-54,PC-55,PC-56,PC-57,PC-58,PC-59,PC-60,PC-61,PC-62,PC-63,PC-64,PC-65,PC-66,PC-67,PC-68,PC-69,PC-70
0,1986L,,20,1.798209000956397,-0.08920872401553817,-0.5588754887367985,0.13080717043719547,-0.16919022346249657,-0.46548826749643246,0.1632514979865414,0.06739102847213344,-0.24667331441599807,0.07610132965073056,-0.061424002699633516,-0.0026484062891906127,-0.08297699030645071,0.019411433856366043,0.21487765152130778,-0.2196598661652202,0.17525583342277665,0.08542375741442682,0.15914722409447735,0.09228323464625618,0.21595234170308514,-0.04337607720268886,-0.26620063911645625,-0.006623819821654838,0.05302206219587051,-0.13442013727708363,0.06125784161984654,-0.027086172325236295,-0.13733433747495644,-0.21872790192817573,-0.024634622380259062,-0.04972129850816734,0.1010193054370372,0.13609812076671568,0.0014683297528770918,-0.027003032727911512,0.07382967170663915,0.042556709501786846,-0.09754899876563662,-0.04226731143565194,-0.010642972656902092,-0.056170249508056415,0.017081283981673266,0.1321458881403737,0.005995352831278795,-0.13041921278730337,0.003920507987223038,-0.05314768856688817,-0.016527855837447633,0.02406154002892626,-0.03112637309870757,0.12008338438436807,-0.05470275823303935,-0.026460427037610427,0.04621420547573859,0.0481566493632305,0.1435768653451314,-0.041823126222371595,-0.10023696536131582,-0.07115007448151575,0.014588779118721409,-0.0736854516187584,-0.05034801257883236,-0.08124493976043684,-0.11421793563373576,0.16038459978786743,-0.05169904994335736,0.03736334452936443,0.06942724634791399,0.06506288586205826
1,1986L,,30,0.9469024038475763,-0.5973375855211857,0.46141795623100784,-0.3861648426263032,0.2542216923503255,-0.2556299146652499,-0.1792486799239887,0.22279879873204467,0.0906089265148204,0.3596832508653581,0.4009115909272667,0.7309355248442633,0.27905176137779175,-0.07016582605200365,0.2910391170238894,0.1087741414980525,0.17318931770854895,0.04144024878858678,-0.21710309868283803,0.12106173002206964,0.08814209995258852,0.24627390900311852,-0.12479427289117298,0.13038062776378745,0.004042674385660304,-0.05489632385163507,-0.26202281753313417,0.15125173110753365,-0.03915100527674894,0.0875845347237049,-0.02118825055276494,-0.18192765443361714,0.062243591742331204,-0.01933298852546267,0.14711107794121553,-0.17782839611433987,0.05721866980651882,-0.008614852020023657,-0.0842674241781315,0.020451204526802776,0.18339109683715873,-0.07964668910014397,-0.1679713586311644,-0.08189439025092353,-0.2385742615554231,-0.14302415499994686,0.2046295767564044,-0.21580444854955885,0.019126789021917313,0.338599075318382,-0.25650763563325785,-0.2253276807891456,-0.028925374240673964,0.20889242188489623,-0.00841844737804866,-0.04421599578909744,0.012390641181665869,-0.18081350157804799,0.05256383826220813,-0.19932894481223973,-0.1579246251857603,0.013604685162604588,-0.07152854915651749,-0.0033316781088678317,0.03106665998438623,-0.09455637374010963,-0.1863675315682369,-0.012250509786740993,-0.01570862258299392,-0.017664306080476387
2,1986L,,40,0.19086233605972033,1.0366724629386563,-0.03234396960508632,-0.37498333461829514,-0.014875418040826167,-0.2517303042209143,-0.3905415644276513,0.003823224389396461,-0.2769927015142088,0.2986107947648227,-0.10508882275736574,0.18217534594930532,0.16538942314408633,-0.15486864686481736,0.08262299814802765,-0.2380488598091034,0.12356527402823657,-0.36401472389030526,-0.22482509711781776,0.07070862716742705,-0.2252667577752069,0.15050930057574594,0.06741467666055893,0.11498651765531055,-0.20345821196595845,0.03850308133281384,-0.09952069698198213,0.013761284383864664,-0.10750673164828065,-0.050528973320440915,0.2898207205113034,-0.23554071778882035,-0.2317898434999589,0.023513843986149113,0.043252395919354154,-0.023291983753798734,-0.20073839670443624,0.057176337362211185,-0.01979393394260248,-0.011230051542988865,-0.000931170108624564,-0.08201087290648942,-0.1445249373766109,-0.0810082748531186,-0.09877456604759167,-0.15796541039992973,0.05863234746277253,-0.05335871435276961,-0.09503592424186139,-0.05777227720232865,-0.07120136676305817,0.1615559609048442,0.052847594682217884,0.10511560184259068,0.049335192519451,0.1047404149006584,-0.06124374082616527,0.11227024994983503,-0.08181320582656641,0.06277434387412177,-0.1302175601526879,-0.07412084100815008,0.1436702274654053,-0.10175458521136195,0.02554759796214478,0.01465921415991302,-0.06353644544193054,-0.12299254528183044,-0.08213820244052349,0.10678430571589767
3,1986L,,50,0.05526186102817038,-1.2467146375173603,0.3552279905260721,0.25259728742078114,0.025608953471294774,0.3177836265080314,-0.14608120984240605,0.17038077151410408,0.08181637639696228,0.013726867425184123,-0.16401350163854603,0.1090718975393927,0.10948202121045152,-0.0035082227522257193,0.42878815686376703,-0.5298215894393875,-0.32592835788857555,0.048675584093800545,-0.27563559250800895,-0.3302049940193409,0.027770540683589875,-0.11276736404723846,-0.3055166988968382,0.33887707251925053,-0.04727589088502947,0.26331099484643433,-0.09217664878280807,-0.16985419763752418,0.01022413251121714,-0.1509032733706818,0.16049152284056317,0.2080763170943681,-0.007191018607799989,0.1929373256689858,0.036339171002744156,0.14605954115241757,-0.022216140261009206,0.21499227195823983,-0.14708034728429428,-0.00760446062723937,0.100542007801458,0.015591103163973817,-0.020094528037941914,0.14432456842806468,-0.01628992815819467,-0.08158031519129423,-0.017745802456685115,-0.012960829921431515,-0.2663846167281879,-0.06085526672045196,-0.14179484877438167,-0.05306930779930787,-0.011486596040109851,-0.0686342989509528,-0.14712311906242334,-0.18232813341865878,-0.1858421010069929,-0.06926918118532069,0.004235478302162258,0.05915727385326058,-0.003006688220012939,-0.07094125768621953,-0.09541943028677387,0.15412240389038048,0.3269305479919756,-0.17341024072181502,-0.11949045745077384,-0.07395623506020901,-0.056816632964553686,-0.012788712462295609
4,1987A,,20,-2.4800049042302588,-4.021835318653494,-3.045478825803821,3.607487099536269,3.6267417573318106,3.210469336599049,0.3394560072849242,0.7856719958748607,-0.24769992555441903,-0.19979693592554598,-0.27200283148685794,-0.4096480431457323,0.05457963925085549,0.07591925439579618,-0.09660072698278928,0.06156255006876154,-0.3259143373232873,-0.022122976479716276,0.14918750511539075,-0.020753234101059784,-0.00949591031740404,0.11766757145387848,0.10807409462641553,-0.007529429668705153,-0.020232476246049687,0.04665135100211099,-0.038900033705825426,-0.2252724318693952,0.06417738485067612,0.1651398054944816,0.02874423648039756,0.1242580776945399,-0.12486674770587791,0.03290127693213378,0.05571803592155857,0.02989249547014359,-0.08396611412215818,-0.07808487388884369,-0.06716513497373268,0.04037343061130083,0.08831507980018626,0.036072558970632704,0.014059347306007983,-0.013023112287234085,-0.026289375690767874,0.11114383987204132,-0.0183921639360998,-0.04306128047095745,0.019470477172731322,-0.003168639572398156,-0.03531290306002742,-0.020648124810000883,0.02085986406997672,-0.005339765879489321,0.024590676047299934,-0.06742585686784536,0.04705383330092661,0.045271817437788645,0.04624149956317117,-0.028590156192778545,0.02979366617103727,0.009911035631028825,0.05504050252137627,-0.013229103186799509,-0.02919713031653933,-0.03675356534153076,0.04506438029808159,-0.03232222205694132,-0.019215048916304413,-0.03015582375734862
5,1987A,,30,-1.0597058526374405,3.0590132861669677,3.947563880147802,0.9853455924935347,-0.9439581695415526,5.439153185204936,-0.6838275467662502,-1.6807832002423404,0.079245276801443,0.08235099950357563,-0.6747049615152193,-0.7532193219175435,0.25294075403750155,0.4296315775096194,-0.3534712360890101,0.17978612956421902,-0.28267842981838737,-0.23518014957169917,-0.3494581407224861,-0.04813522710778718,0.11234018279302194,0.04460823619861893,0.03678969220743654,0.07795698820034451,0.049757307938146186,-0.14960449552103802,0.2648546410100212,-0.29686149233511977,0.056931954777010005,-0.09966003343043127,-0.019201628757245806,-0.4083722813606034,-0.11931282832376552,0.1716946521870953,-0.09454615162765541,0.14894926377098583,0.03842747782032332,-0.05184827008933101,-0.02784386106630227,-0.07877953409621995,0.013112446064562976,0.17870706729044447,-0.015057126158021503,-0.14208719437843956,-0.1827579430045353,0.1564479439789388,0.000721429268105047,-0.2559605396693486,-0.021089411579387044,-0.058321793749187695,0.03749710451448201,-0.06533411501836472,0.08263014910255506,-0.1839435694332925,0.026512308417263247,0.057230815854278035,0.0450239719801717,-0.04538416453608753,-0.0951998571049173,-0.003305944531572501,-0.11903484349175078,-0.013018413490824679,0.00669584290622001,0.03599924551876278,0.0333537914995161,-0.02048124598195826,-0.01602107149613119,-0.025909850740880275,0.015737965832405814,0.010137618994007867
6,1987A,,40,-0.6916315454169079,-3.231546743641884,2.975608224712823,0.2589491856002098,-1.6614148016046562,2.6589477695282393,1.2693835185223108,-0.10017198028201461,-3.081269436432984,0.2044085831580657,2.840199421936483,0.277500025775111,-0.7126998116969242,0.022523045820025196,-0.7317425131711033,-0.5758464936660495,-0.5915203193768671,1.2178536379531941,-0.46461609236841384,0.3537861661773589,0.010729946378278506,0.194013102872381,-0.24615857687469916,0.355778200483302,0.448549412926832,0.33481527806440087,0.1315748202371001,-0.0016987897549871499,-0.0714883133343619,0.06042251822982742,-0.16566186038537092,0.07190672120813026,-0.09250314977310226,0.14136155116212065,-0.3136863888492222,-0.3628485064461615,0.2353507246862689,0.2738825991216713,0.40029461300530045,-0.018557818006902198,-0.035716073371291,0.4695689891317904,0.27435797207291485,-0.3059693529019526,0.05933984795101154,0.38117946248366863,0.13703003938681282,-0.010439851768206346,0.3598337300219355,0.2685499271890414,-0.026975828105110303,-0.042047825083775144,-0.017062426260091787,0.09897409707821754,-0.1457377906253493,-0.008795461668453313,0.07352902571644268,0.10641785816690875,-0.060537656396934994,0.08239035131715443,0.12775290400949213,-0.08543792369130836,-0.035773088631602605,-0.13499039224749856,-0.11448198153437827,-0.12081888427607476,0.07358780550698453,0.12169892094296215,0.01648879718142689,0.053795684181889625
7,1987A,,50,-1.6199057663819842,3.4784688130707107,-1.8691494968569777,-1.5854272134459215,-3.4817144632640873,-1.845007187314627,3.1607565360628764,-2.930792528520549,0.438935391225226,0.18926387027857383,0.3786875752968071,0.8489945076243186,0.5884315879914266,1.4850641706234782,0.6483553845418627,1.223407388535844,-0.6217609807975948,0.5091679360447774,-0.7035871538067228,0.2778753298199463,-0.032797139559344116,0.49053827028274427,-0.44175225656416517,0.28438135412375254,0.3082172240836814,0.13624413213519695,0.14791929012806154,0.21793324267804773,-0.07705682281615048,0.030936886433087184,-0.06254444217494082,-0.04376417664384508,0.22133769953340726,-0.3618739717496108,-0.17579189238325107,0.012318775460022687,-0.2470897603291856,0.07152089516208558,0.16754428236024305,-0.4298020513680494,0.009716172828905004,0.081902480631412,-0.2876507072150794,0.33620283507115745,0.10646547577198516,0.151399541743766,-0.049700818339840344,-0.01211794712093075,0.48284123072999424,0.3478753526905355,-0.10237846364546352,0.11133995063385227,0.20381806876855915,0.3509548732489311,-0.08203429709465075,0.04177340135284371,0.09029016527068431,0.10691170069355557,-0.00010025062663431833,-0.03051344142557788,0.2184619765317637,-0.15271781903177686,-0.10032738794736974,0.17415428277110062,-0.21530510348536686,0.00908503803801186,0.036058743460312785,0.06966153343889364,-0.1288569220224113,-0.010821526256988548
8,1990E,,20,-0.27507050312875037,1.5612822279042406,0.2610912671051179,0.037012328682423,-0.2148265215835823,0.21109923677376588,0.10435993710982124,0.0455707300446149,-0.29976110016524593,-0.03445281926312095,0.11694940291671299,0.2979838391948293,0.17634373776664486,-0.040983512708103,-0.18259708478878145,0.050775983392603495,-0.13272740516605486,0.032460938471557545,0.028014915519011224,-0.07966722435658373,-0.11849788992843316,0.19038845679698388,0.004055989992738538,0.07928346649152973,-0.14184950416007439,0.13051145702591388,-0.07047390650143036,-0.1824111898805266,-0.10310027725860457,0.12248584601404797,-0.36625884608966386,-0.1385108634279418,-0.10145667643291305,-0.13083255740275856,-0.2590733575196124,0.11324088678056587,0.018188218693376005,-0.011427659538485608,0.14209840049739722,-0.07735760734417706,0.0734149751735305,-0.033748239514770274,0.20939795632920885,0.025540557439551855,-0.1553645034632788,-0.03547676784477759,0.07680455046889692,0.16796247729078648,0.07859849648026465,-0.015352104953037357,0.08296536402745074,-0.056587197895225996,-0.21722710112303095,-0.0964481836459934,0.1437232486859199,-0.11482155975654766,-0.013418718088711633,-0.03896897005612639,-0.0008390760305506603,-0.0660236407084846,0.029980926452528252,0.04696170401429285,0.019003137543276837,-0.00211565145262001,0.07367098303219546,-0.13813123419165171,-0.003827463374343482,0.05820406113885512,-0.013448382922545372,0.003960787225691497
9,1990E,,30,0.21558926630847738,-1.504141543701573,0.4279548020676485,0.4096447329203161,-0.003280596125368295,0.15181519330122342,-0.376340955695874,-0.5217115631020508,0.12414001088646348,-0.06431893871814931,0.07708591624840291,0.08424923819039459,-0.03154889831694413,0.26568206334369565,0.47196792005507504,0.03617592584692109,0.1933710012880363,0.1602024609592507,0.4236368372078282,-0.011668417887525068,0.0008972797909972711,-0.024380140533723386,-0.1345956661750997,0.11475118774930605,0.0615440403550953,0.06753951723345007,0.17392224207438778,-0.16620234088878277,-0.22862014575338893,0.09515521447696636,0.2109406295489778,0.4094582499948166,0.17198168323603466,0.2509535377713053,-0.02280883224048108,-0.0805922416291606,-0.1842531365004126,-0.22646484672707423,-0.06104289747063209,-0.14012646932647588,0.1587833387063565,-0.11351824661109451,-0.012533039400590133,-0.03809113570779858,-0.14053708558783568,0.07445617778950472,-0.06733989872151058,0.014295139111208468,0.10377679436629053,0.18121549254665448,0.06722052024951937,0.047952625181210205,0.03887635055766803,-0.1377352611623035,0.0911331436691632,0.003101754042513071,-0.12937065529988687,0.20929549901198594,-0.04850197224835901,0.22159874203423946,-0.1553328871398295,0.0428886509987223,-0.02643095801000391,0.09258103738598691,-0.12066282151685802,0.21625869650643428,-0.04376029551229091,0.06746962268718039,0.05108798852601728,-9.292723639837703e-05
